time,total_flux_kg_m2_s,diffusion_flux_kg_m2_s,ebullition_flux_kg_m2_s,upward_bubbling_flux_kg_m2_s,sediment_temperature_avg_c
2021-07-06,5.03768334503718e-09,1.5195621124064473e-10,4.885727133796536e-09,0.0,5.553680856820723
2021-07-07,4.883508388040525e-09,1.8418866442715397e-10,4.699319723613371e-09,0.0,5.58163461698444
2021-07-08,4.834350706097722e-09,1.7571728140097773e-10,4.658633424696745e-09,0.0,5.55304704732549
2021-07-09,4.714290590968061e-09,1.5567406101979485e-10,4.558616529948267e-09,0.0,5.539725414602766
2021-07-10,4.516334963931001e-09,1.4840887640588107e-10,4.36792608752512e-09,0.0,5.57006182503068
2021-07-11,4.45891580515223e-09,1.5396419602353716e-10,4.304951609128693e-09,0.0,5.604110903033405
2021-07-12,4.451369439699704e-09,1.4236137278800242e-10,4.309008066911701e-09,0.0,5.649490932124299
2021-07-13,4.698124452175989e-09,1.2579902787024364e-10,4.572325424305745e-09,0.0,5.63298583365938
2021-07-14,4.622150321296203e-09,1.248616159443827e-10,4.49728870535182e-09,0.0,5.695156851759419
2021-07-15,4.792620033420291e-09,1.698423584528541e-10,4.622777674967437e-09,0.0,5.721420970612389
2021-07-16,4.687389048392276e-09,1.3123110203849817e-10,4.556157946353778e-09,0.0,5.748885017898485
2021-07-17,4.788335334353632e-09,1.3223434649489718e-10,4.656100987858735e-09,0.0,5.778643867332387
2021-07-18,4.943821086698107e-09,1.655709370140812e-10,4.778250149684026e-09,0.0,5.797480071798954
2021-07-19,5.0351173579699095e-09,1.6228627696790452e-10,4.872831081002005e-09,0.0,5.816814546527608
2021-07-20,5.301211734085597e-09,1.2976326882352396e-10,5.171448465262073e-09,0.0,5.807570247606229
2021-07-21,5.308206379908142e-09,1.3247260298498984e-10,5.175733776923152e-09,0.0,5.849926643876559
2021-07-22,5.306803467455267e-09,1.429340773384524e-10,5.163869390116815e-09,0.0,5.910771410509749
2021-07-23,5.169766879333793e-09,1.3395855759767983e-10,5.0358083217361125e-09,0.0,5.946844008208947
2021-07-24,5.362657532970161e-09,1.5952921742723447e-10,5.203128315542926e-09,0.0,5.990994433866716
2021-07-25,5.4554036300302755e-09,1.9100401953409117e-10,5.264399610496184e-09,0.0,6.008650491822919
2021-07-26,5.723170887534933e-09,1.9471903428325275e-10,5.528451853251681e-09,0.0,5.947747225444032
2021-07-27,5.470453806992736e-09,1.7440534634260984e-10,5.296048460650126e-09,0.0,5.929926607195922
2021-07-28,5.216623628143679e-09,1.7590999220828962e-10,5.040713635935389e-09,0.0,5.918533229659441
2021-07-29,5.091166912336575e-09,1.7257280575222465e-10,4.918594106584351e-09,0.0,5.882343410329332
2021-07-30,4.965645176042699e-09,1.426030341633577e-10,4.823042141879341e-09,0.0,5.857739291419425
2021-07-31,4.885957611762137e-09,1.3353695017315203e-10,4.752420661588985e-09,0.0,5.851805984818761
2021-08-01,4.605946579179232e-09,1.1564338771918869e-10,4.490303191460043e-09,0.0,5.869752687661246
2021-08-02,4.499348504225509e-09,9.996412615009831e-11,4.39938437807541e-09,0.0,5.897492708652027
2021-08-03,4.684980747402534e-09,9.198781201646966e-11,4.592992935386064e-09,0.0,5.91819304423377
2021-08-04,4.924830417500914e-09,1.2399166063659094e-10,4.800838756864323e-09,0.0,5.985821549138534
2021-08-05,5.2829276426891165e-09,1.4609948092214607e-10,5.136828161766971e-09,0.0,6.007629361114449
2021-08-06,5.172572433558287e-09,1.3016609951677083e-10,5.042406334041516e-09,0.0,6.0378275759907325
2021-08-07,5.052392990734233e-09,1.5430410044814377e-10,4.898088890286089e-09,0.0,6.074123806251877
2021-08-08,5.5204159108868104e-09,1.603603940836251e-10,5.360055516803186e-09,0.0,6.040585526732365
2021-08-09,5.626753597596234e-09,1.6657131794772792e-10,5.4601822796485064e-09,0.0,6.03762858918664
2021-08-10,5.168806544979532e-09,1.634508332060136e-10,5.005355711773518e-09,0.0,6.027529352959816
2021-08-11,4.706493617412377e-09,1.5275231330491578e-10,4.553741304107461e-09,0.0,6.03652198419969
2021-08-12,4.995608736209078e-09,1.5527490589306579e-10,4.840333830316012e-09,0.0,6.004533416018667
2021-08-13,4.7405295628166745e-09,1.481443210948896e-10,4.592385241721785e-09,0.0,5.98917294616774
2021-08-14,4.68084585616424e-09,1.7153274864512013e-10,4.5093131075191195e-09,0.0,5.980051326284409
2021-08-15,4.688199354099253e-09,1.8156274283143145e-10,4.506636611267822e-09,0.0,5.937856612329285
2021-08-16,4.668084217982482e-09,2.8957204300184e-10,4.378512174980642e-09,0.0,5.886177221598594
2021-08-17,4.613144955385451e-09,2.21837478022735e-10,4.391307477362716e-09,0.0,5.799391967537004
2021-08-18,3.907692348157354e-09,1.4947835229150994e-10,3.758213995865844e-09,0.0,5.780731335134846
2021-08-19,3.667061043195474e-09,1.2740272882894033e-10,3.5396583143665337e-09,0.0,5.748375227154208
2021-08-20,3.829109612158987e-09,1.0413527443020597e-10,3.724974337728781e-09,0.0,5.679196819066651
2021-08-21,3.587973465286609e-09,1.161498109780723e-10,3.4718236543085365e-09,0.0,5.673149399488046
2021-08-22,3.827570098273724e-09,1.3339621016683622e-10,3.6941738881068884e-09,0.0,5.649534270974322
2021-08-23,3.8933856542477935e-09,1.0491849776528283e-10,3.788467156482511e-09,0.0,5.6302571787674385
2021-08-24,3.516549821096504e-09,7.468505414109927e-11,3.4418647669554045e-09,0.0,5.621703094402147
2021-08-25,3.390332946846541e-09,7.746244326867213e-11,3.312870503577869e-09,0.0,5.640513793277204
2021-08-26,3.373028750086604e-09,9.421029032452565e-11,3.2788184597620783e-09,0.0,5.622126110248933
2021-08-27,3.428806661567307e-09,1.259334709757809e-10,3.302873190591526e-09,0.0,5.62209399501566
2021-08-28,3.198527333267975e-09,1.4661111123359658e-10,3.0519162220343784e-09,0.0,5.606473256038061
2021-08-29,3.2442710977420574e-09,1.410143346447512e-10,3.103256763097306e-09,0.0,5.581331376166161
2021-08-30,3.203946542953417e-09,1.1616431379479762e-10,3.0877822291586197e-09,0.0,5.55278721266603
2021-08-31,3.2601933099840604e-09,9.14686097530648e-11,3.1687247002309956e-09,0.0,5.510794114999898
2021-09-01,3.2884342617656157e-09,8.521417031559507e-11,3.2032200914500205e-09,0.0,5.46184263117504
2021-09-02,3.2724864558986153e-09,8.380679162200977e-11,3.1886796642766056e-09,0.0,5.480580772271203
2021-09-03,3.056274439554585e-09,8.400027885713256e-11,2.9722741606974523e-09,0.0,5.472031335516229
2021-09-04,3.0865380427691487e-09,8.769221446769392e-11,2.998845828301455e-09,0.0,5.49641774740202
2021-09-05,3.030242716945963e-09,8.302395293924291e-11,2.94721876400672e-09,0.0,5.499645587764753
2021-09-06,2.7483428634411664e-09,1.1622808059996714e-10,2.6321147828411993e-09,0.0,5.527410394661644
2021-09-07,2.9231136722174254e-09,1.3623873375223637e-10,2.786874938465189e-09,0.0,5.5002708345480285
2021-09-08,3.172929099566346e-09,1.1144341188540351e-10,3.0614856876809425e-09,0.0,5.454073214830186
2021-09-09,3.163514663047095e-09,1.021016888991255e-10,3.06141297414797e-09,0.0,5.433501634063298
2021-09-10,3.0829307876523157e-09,9.915694752393732e-11,2.9837738401283785e-09,0.0,5.431026231053063
2021-09-11,2.76408784356974e-09,1.1300349042286938e-10,2.6510843531468706e-09,0.0,5.446557065105727
2021-09-12,2.867265846617783e-09,1.2679262752612886e-10,2.7404732190916544e-09,0.0,5.431486427577019
2021-09-13,3.388984947072515e-09,1.2205959482258777e-10,3.2669253522499273e-09,0.0,5.391005077281702
2021-09-14,2.7808333114798243e-09,1.1300524272783718e-10,2.6678280687519873e-09,0.0,5.420835265659046
2021-09-15,2.642659306477668e-09,1.1335804012801985e-10,2.5293012663496482e-09,0.0,5.376354717053316
2021-09-16,2.9111905475787124e-09,1.1695832164093643e-10,2.794232225937776e-09,0.0,5.3350862182323135
2021-09-17,2.9019537563179652e-09,1.166689420095679e-10,2.7852848143083974e-09,0.0,5.304374714182858
2021-09-18,2.596878943048608e-09,1.1399831526759384e-10,2.482880627781014e-09,0.0,5.283958157805253
2021-09-19,2.565270004133424e-09,1.2715219195769123e-10,2.438117812175733e-09,0.0,5.242587852046093
2021-09-20,2.6921688313130688e-09,1.1434256483866533e-10,2.5778262664744033e-09,0.0,5.181897137873181
2021-09-21,2.317061832215472e-09,1.0941947827802778e-10,2.207642353937444e-09,0.0,5.164767441801127
2021-09-22,2.4709505366615755e-09,2.0855739975900176e-10,2.262393136902574e-09,0.0,4.892603164242071
2021-09-23,2.4086015527835515e-09,1.1809449196320541e-10,2.290507060820346e-09,0.0,4.939284749309232
2021-09-24,2.507023326456803e-09,3.9518305738894805e-11,2.467505020717908e-09,0.0,4.909756906232968
2021-09-25,1.4675605499103738e-09,3.032343445674712e-11,1.4372371154536266e-09,0.0,4.900694197185203
2021-09-26,1.422844713530047e-09,1.908146673113009e-11,1.4037632467989168e-09,0.0,4.877069508813997
2021-09-27,1.664685808773214e-09,2.103298063715897e-11,1.643652828136055e-09,0.0,4.904167128275621
2021-09-28,1.8416858682313018e-09,2.2562862187491816e-11,1.81912300604381e-09,0.0,4.880342120273492
2021-09-29,1.441143216922569e-09,1.3893157060351768e-11,1.4272500598622172e-09,0.0,4.857456376262827
2021-09-30,1.6288458734181607e-09,9.288121864958753e-12,1.619557751553202e-09,0.0,4.843778161272482
2021-10-01,1.6648605237290502e-09,1.292393741580966e-11,1.6519365863132406e-09,0.0,4.790408212207281
2021-10-02,1.2680490977712287e-09,1.1487902125129066e-11,1.2565611956460997e-09,0.0,4.792324803170948
2021-10-03,1.046478346742319e-09,1.0448748772873273e-11,1.0360295979694456e-09,0.0,4.715877263488192
2021-10-04,9.643909536172223e-10,1.1004103901424145e-11,9.53386849715798e-10,0.0,4.731169734503461
2021-10-05,1.3321855858650088e-09,1.0798452036997474e-11,1.3213871338280113e-09,0.0,4.74726991995354
2021-10-06,1.5155255808596555e-09,1.2298312899172714e-11,1.5032272679604828e-09,0.0,4.665747286512062
2021-10-07,1.4827627135072241e-09,1.2001696105823355e-11,1.4707610174014007e-09,0.0,4.642125706880114
2021-10-08,1.3392892654806587e-09,9.781238112793744e-12,1.329508027367865e-09,0.0,4.6182458039713445
2021-10-09,1.4778224751932355e-09,9.774424780673029e-12,1.4680480504125624e-09,0.0,4.605100151312357
2021-10-10,8.44092692406928e-10,9.957860303000387e-12,8.341348321039276e-10,0.0,4.577216850437491
2021-10-11,9.921566042514484e-10,1.1504402106510269e-11,9.80652202144938e-10,0.0,4.549546312402136
2021-10-12,1.627652246547484e-09,1.296322448496312e-11,1.6146890220625208e-09,0.0,4.542030751360464
2021-10-13,1.2259779632795008e-09,1.108982794262303e-11,1.2148881353368778e-09,0.0,4.530097127189482
2021-10-14,1.0271795692640139e-09,6.560453500448204e-12,1.0206191157635657e-09,0.0,4.513331265303975
2021-10-15,9.217417565998697e-10,3.924190367099456e-12,9.178175662327703e-10,0.0,4.518305887609356
