time,initial_guess.delta_dissolved,initial_guess.delta_emission,initial_guess.delta_bubble,initial_guess.ch4_conc_mb,all_observations.delta_dissolved,all_observations.delta_emission,all_observations.delta_bubble,all_observations.ch4_conc_mb,no_winter_obs.delta_dissolved,no_winter_obs.delta_emission,no_winter_obs.delta_bubble,no_winter_obs.ch4_conc_mb,no_winter_emission_obs.delta_dissolved,no_winter_emission_obs.delta_emission,no_winter_emission_obs.delta_bubble,no_winter_emission_obs.ch4_conc_mb,temperature_based.delta_dissolved,temperature_based.delta_emission,temperature_based.delta_bubble,temperature_based.C13_sed_prod,temperature_based.ch4_conc_mb
2023-01-22,-55.66873877798706,-58.173242699796845,-58.173242699796845,0.0018449078246005714,-59.37456493259508,-61.85281703983237,-61.85281703983237,0.0018449078246005714,-49.12291008244163,-54.60950104212004,-54.60950104212004,0.0018449078246005714,-58.24458263378995,-60.72581188889248,-60.72581188889248,0.0018449078246005714,-61.81862535854299,-64.62692555968208,-64.62692555968208,-64.62692555968204,0.0018449078246005714
2023-01-23,-55.72581454551961,-58.173242699796845,-58.173242699796845,0.001887932388950546,-59.431042440946214,-61.85281703983237,-61.85281703983237,0.001887932388950546,-49.247945378826486,-54.60950104212004,-54.60950104212004,0.001887932388950546,-58.301127989109915,-60.72581188889248,-60.72581188889248,0.001887932388950546,-61.885803136614406,-64.76640890858887,-64.76640890858887,-64.76640890858872,0.001887932388950546
2023-01-24,-55.786316443955045,-58.173242699796845,-58.173242699796845,0.0019357861897831565,-59.49091016803732,-61.85281703983237,-61.85281703983237,0.0019357861897831565,-49.380486264910985,-54.60950104212004,-54.60950104212004,0.0019357861897831565,-58.3610676358719,-60.72581188889248,-60.72581188889248,0.0019357861897831565,-61.96018840434125,-64.89484257514366,-64.89484257514366,-64.8948425751437,0.0019357861897831565
2023-01-25,-55.837071748460644,-58.173242699796845,-58.173242699796845,0.001977842794187168,-59.541133463457015,-61.85281703983237,-61.85281703983237,0.001977842794187168,-49.49167538800714,-54.60950104212004,-54.60950104212004,0.001977842794187168,-58.41135126501462,-60.72581188889248,-60.72581188889248,0.001977842794187168,-62.01839321237246,-64.6974507626138,-64.6974507626138,-64.69745076261381,0.001977842794187168
2023-01-26,-55.88786607519414,-58.173242699796845,-58.173242699796845,0.0020218019351156734,-59.59139537207969,-61.85281703983237,-61.85281703983237,0.0020218019351156734,-49.60294999669623,-54.60950104212004,-54.60950104212004,0.0020218019351156734,-58.46167355374688,-60.72581188889248,-60.72581188889248,0.0020218019351156734,-62.080255936070586,-64.86363021751973,-64.86363021751973,-64.86363021751956,0.0020218019351156734
2023-01-27,-55.92866581626754,-58.173242699796845,-58.173242699796845,0.0020585522892957787,-59.63176745671062,-61.85281703983237,-61.85281703983237,0.0020585522892957787,-49.69232956946546,-54.60950104212004,-54.60950104212004,0.0020585522892957787,-58.502094137747875,-60.72581188889248,-60.72581188889248,0.0020585522892957787,-62.12694462207657,-64.69549879851111,-64.69549879851111,-64.69549879851114,0.0020585522892957787
2023-01-28,-55.97010470357466,-58.173242699796845,-58.173242699796845,0.002097271659792816,-59.67277198814536,-61.85281703983237,-61.85281703983237,0.002097271659792816,-49.783109313309424,-54.60950104212004,-54.60950104212004,0.002097271659792816,-58.54314792831694,-60.72581188889248,-60.72581188889248,0.002097271659792816,-62.17644100622455,-64.80796351270057,-64.80796351270057,-64.80796351270047,0.002097271659792816
2023-01-29,-56.0126748443317,-58.173242699796845,-58.173242699796845,0.0021385946617699446,-59.714895915410125,-61.85281703983237,-61.85281703983237,0.0021385946617699446,-49.876367282441045,-54.60950104212004,-54.60950104212004,0.0021385946617699446,-58.58532245945669,-60.72581188889248,-60.72581188889248,0.0021385946617699446,-62.228838328683864,-64.88816640712002,-64.88816640712002,-64.88816640712002,0.0021385946617699446
2023-01-30,-56.062781907228576,-58.173242699796845,-58.173242699796845,0.0021893696856915435,-59.76447776398719,-61.85281703983237,-61.85281703983237,0.0021893696856915435,-49.9861363093177,-54.60950104212004,-54.60950104212004,0.0021893696856915435,-58.63496387118094,-60.72581188889248,-60.72581188889248,0.0021893696856915435,-62.2926272821599,-64.97935600915483,-64.97935600915483,-64.97935600915474,0.0021893696856915435
2023-01-31,-56.10412829140099,-58.173242699796845,-58.173242699796845,0.0022331190886981903,-59.8053907618904,-61.85281703983237,-61.85281703983237,0.0022331190886981903,-50.076713407496534,-54.60950104212004,-54.60950104212004,0.0022331190886981903,-58.67592601825833,-60.72581188889248,-60.72581188889248,0.0022331190886981903,-62.342837238842044,-64.85551511613296,-64.85551511613296,-64.85551511613302,0.0022331190886981903
