Observation #: 25722
-------------------------------------------------------------------------------------
 Time(YYYMMDD)   Depth(m) Value(celsius)  Std(%)
       20070814       3.59       20.7320     10.0
       20070814       4.58       19.8350     10.0
       20070814       5.57       19.4810     10.0
       20070814       6.51       18.8850     10.0
       20070814       7.48       18.3120     10.0
       20070814       8.48       18.0130     10.0
       20070814       9.49       17.8880     10.0
       20070814      11.10       17.4850     10.0
       20070814      11.30       17.2270     10.0
       20070815       2.77       22.2100     10.0
       20070815       3.14       21.6950     10.0
       20070815       3.59       20.8970     10.0
       20070815       4.58       19.9830     10.0
       20070815       5.57       19.4780     10.0
       20070815       6.51       18.9070     10.0
       20070815       7.48       18.3320     10.0
       20070815       8.48       18.1260     10.0
       20070815       9.49       17.9780     10.0
       20070815      11.10       17.4450     10.0
       20070815      11.30       17.2350     10.0
       20070816       2.77       22.5150     10.0
       20070816       3.14       22.4960     10.0
       20070816       3.59       22.4380     10.0
       20070816       4.58       20.6500     10.0
       20070816       5.57       19.6170     10.0
       20070816       6.51       18.8900     10.0
       20070816       7.48       18.5070     10.0
       20070816       8.48       18.2310     10.0
       20070816       9.49       17.9700     10.0
       20070816      11.10       17.4630     10.0
       20070816      11.30       17.2290     10.0
       20070817       2.77       22.3100     10.0
       20070817       3.14       22.2910     10.0
       20070817       3.59       22.2610     10.0
       20070817       4.58       22.0620     10.0
       20070817       5.57       20.4540     10.0
       20070817       6.51       19.4150     10.0
       20070817       7.48       18.4850     10.0
       20070817       8.48       18.2310     10.0
       20070817       9.49       18.0600     10.0
       20070817      11.10       17.5850     10.0
       20070817      11.30       17.4380     10.0
       20070818       2.77       21.5960     10.0
       20070818       3.14       21.5970     10.0
       20070818       3.59       21.5960     10.0
       20070818       4.58       21.5920     10.0
       20070818       5.57       21.5830     10.0
       20070818       6.51       21.2490     10.0
       20070818       7.48       19.0460     10.0
       20070818       8.48       18.3640     10.0
       20070818       9.49       18.0380     10.0
       20070818      11.10       17.6080     10.0
       20070818      11.30       17.3550     10.0
       20070819       2.77       20.8690     10.0
       20070819       3.14       20.8690     10.0
       20070819       3.59       20.8670     10.0
       20070819       4.58       20.8600     10.0
       20070819       5.57       20.8440     10.0
       20070819       6.51       20.8190     10.0
       20070819       7.48       20.0140     10.0
       20070819       8.48       18.7220     10.0
       20070819       9.49       18.0660     10.0
       20070819      11.10       17.5040     10.0
       20070819      11.30       17.2730     10.0
       20070820       2.77       20.4150     10.0
       20070820       3.14       20.4090     10.0
       20070820       3.59       20.4020     10.0
       20070820       4.58       20.3810     10.0
       20070820       5.57       20.3640     10.0
       20070820       6.51       20.3200     10.0
       20070820       7.48       20.1630     10.0
       20070820       8.48       18.7290     10.0
       20070820       9.49       17.9800     10.0
       20070820      11.10       17.4470     10.0
       20070820      11.30       17.1130     10.0
       20070821       2.77       20.2580     10.0
       20070821       3.14       20.2180     10.0
